,portfolio,portfolio.curve,portfolio.percent.curve,capital
2024-03-05,259.9999999999483,2136.0538888888595,0.213605388888886,1000000.0
2024-03-06,-2079.9999999999554,56.05388888890411,0.00560538888889045,1000000.0
2024-03-07,-910.0000000000036,-853.9461111110995,-0.08539461111110991,1000000.0
2024-03-08,-1820.0000000000073,-2673.946111111107,-0.2673946111111106,1000000.0
2024-03-11,-780.0000000000296,-3453.9461111111364,-0.3453946111111136,1000000.0
2024-03-12,2339.9999999999964,-1113.94611111114,-0.11139461111111393,1000000.0
2024-03-13,2080.000000000048,966.0538888889082,0.09660538888889089,1000000.0
2024-03-14,-1170.0000000000443,-203.94611111113613,-0.020394611111113542,1000000.0
2024-03-15,2080.000000000048,1876.053888888912,0.18760538888889128,1000000.0
2024-03-18,2469.9999999999704,4346.053888888882,0.43460538888888833,1000000.0
2024-03-19,910.0000000000036,5256.053888888886,0.5256053888888887,1000000.0
2024-03-20,1169.999999999952,6426.053888888838,0.642605388888884,1000000.0
2024-03-21,-519.9999999999889,5906.053888888849,0.590605388888885,1000000.0
2024-03-22,4144.190000000003,10050.243888888852,1.0050243888888855,1000000.0
2024-03-25,140.00000000007162,10190.243888888923,1.0190243888888926,1000000.0
2024-03-26,-1727.4300000000637,8462.813888888859,0.8462813888888863,1000000.0
2024-03-27,2534.189999999976,10997.003888888834,1.0997003888888839,1000000.0
2024-03-28,1588.3800000000615,12585.383888888895,1.2585383888888901,1000000.0
2024-03-29,-2031.6200000000283,10553.763888888867,1.0553763888888872,1000000.0
2024-04-01,628.380000000025,11182.143888888892,1.1182143888888896,1000000.0
2024-04-02,5248.379999999973,16430.523888888863,1.6430523888888868,1000000.0
2024-04-03,1544.1900000000592,17974.713888888924,1.7974713888888927,1000000.0
2024-04-04,206.75999999994627,18181.47388888887,1.8181473888888873,1000000.0
2024-04-05,-1287.4299999999737,16894.043888888897,1.6894043888888899,1000000.0
2024-04-08,-31.62,16862.423888888898,1.6862423888888898,1000000.0
2024-04-09,-10455.809999999969,6406.613888888929,0.6406613888888928,1000000.0
2024-04-10,739.9999999998528,7146.613888888782,0.7146613888888781,1000000.0
2024-04-11,9958.380000000116,17104.993888888897,1.7104993888888897,1000000.0
2024-04-12,0.0,17104.993888888897,1.7104993888888897,1000000.0
2024-04-15,0.0,17104.993888888897,1.7104993888888897,1000000.0
2024-04-16,0.0,17104.993888888897,1.7104993888888897,1000000.0
2024-04-17,6630.000000000066,23734.993888888963,2.3734993888888964,1000000.0
2024-04-18,374.1899999999224,24109.183888888885,2.4109183888888888,1000000.0
2024-04-19,3520.9500000001362,27630.13388888902,2.7630133888889024,1000000.0
2024-04-22,4420.949999999744,32051.083888888767,3.2051083888888767,1000000.0
2024-04-23,3405.140000000014,35456.22388888878,3.5456223888888783,1000000.0
2024-04-24,-2894.859999999841,32561.36388888894,3.256136388888894,1000000.0
2024-04-25,1192.5699999997532,33753.93388888869,3.3753933888888694,1000000.0
2024-04-26,-2694.8599999999446,31059.073888888746,3.105907388888875,1000000.0
2024-04-29,5632.5700000003835,36691.64388888913,3.6691643888889134,1000000.0
2024-04-30,2125.1399999995583,38816.78388888868,3.881678388888869,1000000.0
2024-05-01,-94.86,38721.92388888868,3.872192388888869,1000000.0
2024-05-02,-10319.99999999978,28401.9238888889,2.840192388888891,1000000.0
2024-05-03,-11195.81000000022,17206.11388888868,1.7206113888888688,1000000.0
2024-05-06,0.0,17206.11388888868,1.7206113888888688,1000000.0
2024-05-07,6960.00000000047,24166.11388888915,2.416611388888916,1000000.0
2024-05-08,6959.999999999852,31126.113888889002,3.112611388888901,1000000.0
2024-05-09,0.0,31126.113888889002,3.112611388888901,1000000.0
2024-05-10,-20089.050000000345,11037.063888888657,1.1037063888888663,1000000.0
2024-05-13,10025.140000000602,21062.203888889257,2.1062203888889264,1000000.0
2024-05-14,-10320.000000000391,10742.203888888866,1.0742203888888873,1000000.0
2024-05-15,-15495.809999999976,-4753.60611111111,-0.4753606111111104,1000000.0
2024-05-16,-32053.94666666645,-36807.55277777756,-3.6807552777777555,1000000.0
2024-05-17,7452.180000000111,-29355.372777777447,-2.9355372777777444,1000000.0
2024-05-20,-10111.619999999984,-39466.99277777743,-3.9466992777777428,1000000.0
2024-05-21,15072.569999999678,-24394.42277777775,-2.4394422777777747,1000000.0
2024-05-22,-126.48,-24520.90277777775,-2.4520902777777747,1000000.0
2024-05-23,9460.000000000256,-15060.902777777492,-1.5060902777777492,1000000.0
2024-05-24,6879.999999999854,-8180.902777777638,-0.8180902777777639,1000000.0
2024-05-27,-3010.0000000000123,-11190.90277777765,-1.1190902777777652,1000000.0
2024-05-28,860.0000000001344,-10330.902777777515,-1.0330902777777518,1000000.0
2024-05-29,5159.99999999989,-5170.9027777776255,-0.5170902777777627,1000000.0
2024-05-30,2580.0000000000978,-2590.9027777775277,-0.25909027777775295,1000000.0
2024-05-31,-1290.0000000000489,-3880.9027777775764,-0.38809027777775784,1000000.0
2024-06-03,0.0,-3880.9027777775764,-0.38809027777775784,1000000.0
2024-06-04,-7739.999999999988,-11620.902777777565,-1.1620902777777566,1000000.0
2024-06-05,3869.9999999998413,-7750.902777777723,-0.7750902777777725,1000000.0
2024-06-06,-8169.999999999902,-15920.902777777625,-1.5920902777777628,1000000.0
2024-06-07,860.0000000001344,-15060.90277777749,-1.5060902777777494,1000000.0
2024-06-10,14619.999999999842,-440.9027777776482,-0.0440902777777652,1000000.0
2024-06-11,-3885.8099999998412,-4326.7127777774895,-0.43267127777774933,1000000.0
2024-06-12,-2520.0000000000955,-6846.712777777585,-0.6846712777777588,1000000.0
2024-06-13,-840.0000000001313,-7686.712777777716,-0.768671277777772,1000000.0
2024-06-14,3780.0000000001432,-3906.7127777775727,-0.3906712777777577,1000000.0
2024-06-17,2940.000000000012,-966.7127777775609,-0.09667127777775653,1000000.0
2024-06-18,1260.0000000000477,293.2872222224869,0.02932872222224825,1000000.0
2024-06-19,-5880.000000000024,-5586.712777777537,-0.558671277777754,1000000.0
2024-06-20,3779.999999999845,-1806.7127777776918,-0.18067127777776953,1000000.0
2024-06-21,-3779.999999999845,-5586.712777777537,-0.558671277777754,1000000.0
2024-06-24,839.9999999998329,-4746.712777777704,-0.47467127777777074,1000000.0
