,gross,costs,net
2024-06-05,3869.9999999998413,0.0,3869.9999999998413
2024-06-06,-8169.999999999902,0.0,-8169.999999999902
2024-06-07,860.0000000001344,0.0,860.0000000001344
2024-06-10,14619.999999999842,0.0,14619.999999999842
2024-06-11,-3869.9999999998413,-15.81,-3885.8099999998412
2024-06-12,-2520.0000000000955,0.0,-2520.0000000000955
2024-06-13,-840.0000000001313,0.0,-840.0000000001313
2024-06-14,3780.0000000001432,0.0,3780.0000000001432
2024-06-17,2940.000000000012,0.0,2940.000000000012
2024-06-18,1260.0000000000477,0.0,1260.0000000000477
2024-06-19,-5880.000000000024,0.0,-5880.000000000024
2024-06-20,3779.999999999845,0.0,3779.999999999845
2024-06-21,-3779.999999999845,0.0,-3779.999999999845
2024-06-24,839.9999999998329,0.0,839.9999999998329
2024-06-25,-1679.999999999964,0.0,-1679.999999999964
2024-06-26,7140.000000000072,-15.81,7124.190000000071
2024-06-27,1719.9999999999634,0.0,1719.9999999999634
2024-06-28,-4300.000000000061,-31.62,-4331.620000000061
2024-07-01,-449.9999999999105,0.0,-449.9999999999105
2024-07-02,6300.0000000000255,-15.81,6284.190000000025
2024-07-03,-4140.000000000156,0.0,-4140.000000000156
2024-07-04,-5519.999999999883,-15.81,-5535.809999999883
2024-07-05,-2820.000000000107,0.0,-2820.000000000107
2024-07-08,-2819.999999999773,0.0,-2819.999999999773
2024-07-09,-3760.0000000002537,0.0,-3760.0000000002537
2024-07-10,-939.999999999813,0.0,-939.999999999813
2024-07-11,-6110.00000000012,0.0,-6110.00000000012
2024-07-12,-2819.999999999773,0.0,-2819.999999999773
2024-07-15,469.9999999999065,0.0,469.9999999999065
2024-07-16,-5640.000000000214,0.0,-5640.000000000214
2024-07-17,-11279.99999999976,0.0,-11279.99999999976
2024-07-18,6580.000000000026,-126.48,6453.520000000027
2024-07-19,12480.000000000011,-79.05000000000001,12400.950000000012
2024-07-22,0.0,-126.48,-126.48
2024-07-23,-1300.000000000111,0.0,-1300.000000000111
2024-07-24,-2339.999999999904,-15.81,-2355.809999999904
2024-07-25,750.0000000000284,-15.81,734.1900000000285
2024-07-26,-2160.000000000082,0.0,-2160.000000000082
2024-07-29,0.0,-31.62,-31.62
2024-07-30,-1980.000000000075,0.0,-1980.000000000075
2024-07-31,-6819.999999999894,-31.62,-6851.6199999998935
2024-08-01,-600.0000000000227,-94.86,-694.8600000000228
2024-08-02,-3360.0000000000277,-47.43,-3407.4300000000276
2024-08-05,-1870.0000000000186,-79.05000000000001,-1949.0500000000186
2024-08-06,1920.0000000000018,-63.24,1856.7600000000018
2024-08-07,260.0000000000051,-31.62,228.3800000000051
2024-08-08,0.0,-31.62,-31.62
2024-08-09,160.0000000000108,-31.62,128.3800000000108
2024-08-12,0.0,-47.43,-47.43
2024-08-13,839.999999999982,0.0,839.999999999982
2024-08-14,1819.9999999999861,-47.43,1772.569999999986
2024-08-15,-799.999999999983,-527.195,-1327.1949999999829
2024-08-16,-910.0000000000036,-63.24,-973.2400000000036
2024-08-19,10200.000000000024,-47.43,10152.570000000023
2024-08-20,4800.00000000004,0.0,4800.00000000004
2024-08-21,-3000.0000000001137,0.0,-3000.0000000001137
2024-08-22,-399.9999999999204,-47.43,-447.4299999999204
2024-08-23,1839.999999999961,-47.43,1792.5699999999608
2024-08-26,7539.999999999978,-79.05000000000001,7460.949999999978
2024-08-27,-3719.999999999921,-47.43,-3767.4299999999207
2024-08-28,3400.000000000048,-31.62,3368.3800000000483
2024-08-29,2879.9999999999386,-79.05000000000001,2800.9499999999384
2024-08-30,-409.99999999991843,-79.05000000000001,-489.04999999991844
2024-09-02,-14260.000000000106,-79.05000000000001,-14339.050000000105
2024-09-03,-1530.000000000058,0.0,-1530.000000000058
2024-09-04,509.99999999989853,0.0,509.99999999989853
2024-09-05,29070.000000000015,-15.81,29054.190000000013
2024-09-06,7280.000000000029,-31.62,7248.380000000029
2024-09-09,-21499.999999999985,0.0,-21499.999999999985
2024-09-10,9500.000000000242,-47.43,9452.570000000242
2024-09-11,4229.999999999826,0.0,4229.999999999826
2024-09-12,-5169.999999999974,0.0,-5169.999999999974
2024-09-13,20209.999999999985,0.0,20209.999999999985
2024-09-16,4230.00000000016,0.0,4230.00000000016
2024-09-17,-3760.0000000002537,-15.81,-3775.8100000002537
2024-09-18,1919.999999999959,-47.43,1872.569999999959
2024-09-19,8160.000000000188,-47.43,8112.570000000188
2024-09-20,1620.0000000000614,-63.24,1556.7600000000614
2024-09-23,3479.99999999972,-63.24,3416.75999999972
2024-09-24,7440.000000000282,-79.05000000000001,7360.950000000282
2024-09-25,8709.999999999694,-79.05000000000001,8630.949999999695
2024-09-26,12960.000000000491,-79.05000000000001,12880.950000000492
2024-09-27,12319.999999999738,-79.05000000000001,12240.949999999739
2024-09-30,18039.999999999905,-79.05000000000001,17960.949999999906
2024-10-01,-35669.9999999997,-79.05000000000001,-35749.049999999705
2024-10-02,-16559.999999999975,-142.29000000000002,-16702.289999999975
2024-10-03,-29879.999999999953,0.0,-29879.999999999953
2024-10-04,5810.000000000024,-142.29000000000002,5667.710000000024
2024-10-07,-28860.000000000044,0.0,-28860.000000000044
2024-10-08,-1480.0000000002315,-79.05000000000001,-1559.0500000002314
2024-10-09,2759.9999999999413,0.0,2759.9999999999413
2024-10-10,-13109.999999999844,0.0,-13109.999999999844
2024-10-11,17250.0,0.0,17250.0
2024-10-14,0.0,0.0,0.0
2024-10-15,-689.9999999998627,0.0,-689.9999999998627
2024-10-16,12419.99999999998,-15.81,12404.18999999998
2024-10-17,-2720.000000000425,0.0,-2720.000000000425
2024-10-18,4760.000000000019,0.0,4760.000000000019
2024-10-21,-20399.999999999807,0.0,-20399.999999999807
2024-10-22,-6119.999999999749,0.0,-6119.999999999749
2024-10-23,0.0,0.0,0.0
2024-10-24,-11560.000000000116,0.0,-11560.000000000116
2024-10-25,-7479.999999999962,-15.81,-7495.809999999962
2024-10-28,-6030.000000000228,0.0,-6030.000000000228
2024-10-29,5359.999999999885,0.0,5359.999999999885
2024-10-30,4690.000000000019,0.0,4690.000000000019
2024-10-31,-3349.9999999998095,0.0,-3349.9999999998095
2024-11-01,-9380.000000000038,0.0,-9380.000000000038
2024-11-04,10720.000000000247,0.0,10720.000000000247
2024-11-05,10049.999999999905,0.0,10049.999999999905
2024-11-06,-38860.000000000364,-15.81,-38875.81000000036
2024-11-07,-8579.9999999997,-332.01,-8912.0099999997
2024-11-08,10800.00000000009,-15.81,10784.19000000009
2024-11-11,-13640.0000000001,-47.43,-13687.4300000001
2024-11-12,-18860.000000000036,-47.43,-18907.430000000037
2024-11-13,5320.000000000022,-110.67,5209.330000000022
2024-11-14,-13329.99999999999,-767.905,-14097.904999999992
2024-11-15,8409.999999999975,-79.05000000000001,8330.949999999975
2024-11-18,239.99999999995225,-47.43,192.56999999995224
2024-11-19,3990.0000000001014,-15.81,3974.1900000001015
2024-11-20,-2400.000000000091,-31.62,-2431.620000000091
2024-11-21,1439.9999999999693,-15.81,1424.1899999999694
2024-11-22,1020.0000000000387,-15.81,1004.1900000000387
2024-11-25,-480.0000000000182,-15.81,-495.8100000000182
2024-11-26,-1499.9999999999147,0.0,-1499.9999999999147
2024-11-27,1799.9999999999616,-31.62,1768.3799999999617
2024-11-28,1690.0000000000332,0.0,1690.0000000000332
2024-11-29,2209.99999999993,-15.81,2194.18999999993
2024-12-02,-2639.9999999999864,0.0,-2639.9999999999864
2024-12-03,1200.000000000017,-15.81,1184.190000000017
2024-12-04,219.99999999995623,0.0,219.99999999995623
2024-12-05,0.0,0.0,0.0
2024-12-06,2970.0000000000346,0.0,2970.0000000000346
2024-12-09,2859.999999999978,0.0,2859.999999999978
2024-12-10,0.0,0.0,0.0
2024-12-11,-1099.9999999999375,0.0,-1099.9999999999375
2024-12-12,879.9999999999812,0.0,879.9999999999812
2024-12-13,-3520.000000000003,0.0,-3520.000000000003
2024-12-16,659.9999999999468,0.0,659.9999999999468
2024-12-17,-2199.999999999953,0.0,-2199.999999999953
2024-12-18,109.99999999997812,0.0,109.99999999997812
2024-12-19,-3189.9999999999905,0.0,-3189.9999999999905
2024-12-20,770.0000000000032,0.0,770.0000000000032
2024-12-23,3080.0000000000127,-15.81,3064.190000000013
2024-12-24,99.9999999999801,-15.81,84.1899999999801
2024-12-25,-179.9999999999642,,-179.9999999999642
2024-12-26,-810.0000000000307,,-810.0000000000307
2024-12-27,1800.0000000000255,,1800.0000000000255
2024-12-30,-359.9999999999923,,-359.9999999999923
2024-12-31,0.0,,0.0
2025-01-01,0.0,,0.0
2025-01-02,-1620.0000000000614,,-1620.0000000000614
2025-01-03,-1799.9999999999616,,-1799.9999999999616
