index,price
2004-04-15,1276.25
2004-04-16,1285.25
2004-04-19,1285.0
2004-04-20,1265.75
2004-04-21,1273.75
2004-04-22,1288.0
2004-04-23,1290.75
2004-04-26,1289.25
2004-04-27,1289.25
2004-04-28,1274.75
2004-04-29,1265.25
2004-04-30,1257.25
2004-05-03,1267.25
2004-05-04,1266.75
2004-05-05,1273.25
2004-05-06,1264.25
2004-05-07,1246.75
2004-05-10,1234.75
2004-05-11,1243.5
2004-05-12,1250.0
2004-05-13,1245.0
2004-05-14,1246.0
2004-05-17,1236.75
2004-05-18,1241.5
2004-05-19,1238.0
2004-05-20,1241.75
2004-05-21,1243.75
2004-05-24,1247.75
2004-05-25,1263.75
2004-05-26,1267.25
2004-05-27,1274.0
2004-05-28,1271.5
2004-05-31,
2004-06-01,1272.5
2004-06-02,1276.75
2004-06-03,1266.25
2004-06-04,1274.5
2004-06-07,1291.5
2004-06-08,1293.25
2004-06-09,1282.75
2004-06-10,1287.75
2004-06-11,1287.75
2004-06-14,1277.0
2004-06-15,1285.25
2004-06-16,1284.5
2004-06-17,1282.5
2004-06-18,1285.5
2004-06-21,1280.75
2004-06-22,1286.5
2004-06-23,1295.5
2004-06-24,1292.75
2004-06-25,1286.75
2004-06-28,1283.25
2004-06-29,1287.25
2004-06-30,1292.0
2004-07-01,1277.75
2004-07-02,1277.25
2004-07-05,
2004-07-06,1266.5
2004-07-07,1269.5
2004-07-08,1262.25
2004-07-09,1264.25
2004-07-12,1265.0
2004-07-13,1265.75
2004-07-14,1262.75
2004-07-15,1255.0
2004-07-16,1254.25
2004-07-19,1250.25
2004-07-20,1263.5
2004-07-21,1242.0
2004-07-22,1245.25
2004-07-23,1237.0
2004-07-26,1234.5
2004-07-27,1244.0
2004-07-28,1247.0
2004-07-29,1251.75
2004-07-30,1252.5
2004-08-02,1257.0
2004-08-03,1248.75
2004-08-04,1248.5
2004-08-05,1230.0
2004-08-06,1215.0
2004-08-09,1215.75
2004-08-10,1227.75
2004-08-11,1227.25
2004-08-12,1215.25
2004-08-13,1217.75
2004-08-16,1229.0
2004-08-17,1234.5
2004-08-18,1246.0
2004-08-19,1242.75
2004-08-20,1250.25
2004-08-23,1247.75
2004-08-24,1249.0
2004-08-25,1255.25
2004-08-26,1256.0
2004-08-27,1259.75
2004-08-30,1250.5
2004-08-31,1255.5
2004-09-01,1258.25
2004-09-02,1271.0
2004-09-03,1266.0
2004-09-06,
2004-09-07,1273.75
2004-09-08,1270.25
2004-09-09,1269.0
2004-09-10,1274.75
2004-09-13,1279.25
2004-09-14,1281.0
2004-09-15,1271.75
2004-09-16,1275.5
2004-09-17,1280.0
2004-09-20,1273.25
2004-09-21,1278.25
2004-09-22,1264.0
2004-09-23,1258.25
2004-09-24,1262.5
2004-09-27,1256.25
2004-09-28,1260.75
2004-09-29,1266.25
2004-09-30,1266.0
2004-10-01,1284.25
2004-10-04,1286.5
2004-10-05,1287.5
2004-10-06,1293.75
2004-10-07,1282.5
2004-10-08,1273.0
2004-10-11,1277.0
2004-10-12,1273.5
2004-10-13,1263.25
2004-10-14,1254.0
2004-10-15,1259.25
2004-10-18,1264.0
2004-10-19,1254.5
2004-10-20,1252.75
2004-10-21,1258.75
2004-10-22,1247.0
2004-10-25,1246.25
2004-10-26,1262.5
2004-10-27,1275.75
2004-10-28,1278.5
2004-10-29,1281.25
2004-11-01,1281.75
2004-11-02,1281.5
2004-11-03,1296.0
2004-11-04,1311.5
2004-11-05,1318.75
2004-11-08,1317.5
2004-11-09,1315.25
2004-11-10,1315.75
2004-11-11,1324.75
2004-11-12,1333.75
2004-11-15,1337.0
2004-11-16,1328.5
2004-11-17,1335.25
2004-11-18,1336.0
2004-11-19,1323.25
2004-11-22,1329.0
2004-11-23,1330.25
2004-11-24,1333.0
2004-11-25,
2004-11-26,1331.75
2004-11-29,1327.0
2004-11-30,1325.0
2004-12-01,1340.75
2004-12-02,1341.5
2004-12-03,1340.25
2004-12-06,1340.25
2004-12-07,1328.75
2004-12-08,1335.0
2004-12-09,1339.5
2004-12-10,1340.75
2004-12-13,1351.25
2004-12-14,1355.25
2004-12-15,1356.0
2004-12-16,1355.25
2004-12-17,1347.0
2004-12-20,1347.5
2004-12-21,1356.75
2004-12-22,1359.75
2004-12-23,1360.5
2004-12-24,
2004-12-27,1357.25
2004-12-28,1364.25
2004-12-29,1365.75
2004-12-30,1363.5
2004-12-31,1362.5
2005-01-03,1355.0
2005-01-04,1339.75
2005-01-05,1332.0
2005-01-06,1337.0
2005-01-07,1335.0
2005-01-10,1340.5
2005-01-11,1332.75
2005-01-12,1336.25
2005-01-13,1326.75
2005-01-14,1332.5
2005-01-17,1334.75
2005-01-18,1344.5
2005-01-19,1332.25
2005-01-20,1325.25
2005-01-21,1317.25
2005-01-24,1315.0
2005-01-25,1318.5
2005-01-26,1322.0
2005-01-27,1323.5
2005-01-28,1323.5
2005-01-31,1330.5
2005-02-01,1338.0
2005-02-02,1342.0
2005-02-03,1338.25
2005-02-04,1350.75
2005-02-07,1349.5
2005-02-08,1351.0
2005-02-09,1341.75
2005-02-10,1345.25
2005-02-11,1355.75
2005-02-14,1355.0
2005-02-15,1359.5
2005-02-16,1359.25
2005-02-17,1349.75
2005-02-18,1351.0
2005-02-21,
2005-02-22,1333.5
2005-02-23,1341.5
2005-02-24,1349.5
2005-02-25,1360.75
2005-02-28,1352.75
2005-03-01,1358.75
2005-03-02,1358.25
2005-03-03,1358.75
2005-03-04,1373.0
2005-03-07,1374.0
2005-03-08,1369.25
2005-03-09,1355.75
2005-03-10,1358.5
2005-03-11,1349.75
2005-03-14,1356.25
2005-03-15,1347.0
2005-03-16,1336.25
2005-03-17,1338.25
2005-03-18,1335.0
2005-03-21,1330.5
2005-03-22,1318.5
2005-03-23,1318.75
2005-03-24,1319.75
2005-03-25,
2005-03-28,1321.75
2005-03-29,1314.25
2005-03-30,1329.75
2005-03-31,1328.25
2005-04-01,1322.0
2005-04-04,1324.0
2005-04-05,1329.5
2005-04-06,1333.5
2005-04-07,1339.5
2005-04-08,1327.75
2005-04-11,1328.0
2005-04-12,1334.25
2005-04-13,1320.25
2005-04-14,1304.75
2005-04-15,1287.75
2005-04-18,1291.0
2005-04-19,1300.0
2005-04-20,1284.0
2005-04-21,1305.75
2005-04-22,1301.5
2005-04-25,1308.25
2005-04-26,1298.0
2005-04-27,1301.5
2005-04-28,1287.25
2005-04-29,1302.75
2005-05-02,1307.75
2005-05-03,1310.25
2005-05-04,1319.5
2005-05-05,1319.25
2005-05-06,1315.5
2005-05-09,1322.5
2005-05-10,1310.5
2005-05-11,1316.75
2005-05-12,1303.5
2005-05-13,1301.0
2005-05-16,1311.25
2005-05-17,1319.5
2005-05-18,1331.0
2005-05-19,1335.5
2005-05-20,1334.5
2005-05-23,1340.5
2005-05-24,1338.0
2005-05-25,1336.75
2005-05-26,1342.25
2005-05-27,1344.5
2005-05-30,1346.0
2005-05-31,1337.25
2005-06-01,1345.5
2005-06-02,1349.5
2005-06-03,1342.75
2005-06-06,1342.25
2005-06-07,1343.25
2005-06-08,1340.25
2005-06-09,1345.25
2005-06-10,1343.25
2005-06-13,1346.75
2005-06-14,1349.25
2005-06-15,1351.0
2005-06-16,1355.0
2005-06-17,1359.75
2005-06-20,1359.25
2005-06-21,1360.25
2005-06-22,1360.25
2005-06-23,1343.25
2005-06-24,1335.0
2005-06-27,1335.5
2005-06-28,1346.0
2005-06-29,1342.25
2005-06-30,1334.75
2005-07-01,1339.25
2005-07-04,1337.5
2005-07-05,1348.25
2005-07-06,1337.5
2005-07-07,1342.0
2005-07-08,1355.75
2005-07-11,1362.75
2005-07-12,1364.75
2005-07-13,1367.25
2005-07-14,1371.0
2005-07-15,1370.5
2005-07-18,1365.75
2005-07-19,1372.5
2005-07-20,1375.75
2005-07-21,1369.25
2005-07-22,1376.25
2005-07-25,1373.25
2005-07-26,1374.25
2005-07-27,1379.0
2005-07-28,1386.25
2005-07-29,1376.0
2005-08-01,1376.75
2005-08-02,1384.25
2005-08-03,1387.0
2005-08-04,1377.25
2005-08-05,1369.0
2005-08-08,1366.5
2005-08-09,1373.5
2005-08-10,1373.0
2005-08-11,1377.75
2005-08-12,1370.25
2005-08-15,1376.75
2005-08-16,1360.75
2005-08-17,1360.75
2005-08-18,1360.25
2005-08-19,1363.0
2005-08-22,1363.25
2005-08-23,1360.75
2005-08-24,1349.25
2005-08-25,1352.75
2005-08-26,1345.25
2005-08-29,1353.75
2005-08-30,1347.75
2005-08-31,1360.75
2005-09-01,1361.0
2005-09-02,1359.0
2005-09-05,1359.75
2005-09-06,1373.5
2005-09-07,1374.75
2005-09-08,1371.25
2005-09-09,1381.25
2005-09-12,1379.5
2005-09-13,1372.0
2005-09-14,1367.5
2005-09-15,1366.5
2005-09-16,1375.25
2005-09-19,1371.0
2005-09-20,1360.5
2005-09-21,1349.0
2005-09-22,1352.75
2005-09-23,1353.5
2005-09-26,1354.5
2005-09-27,1354.75
2005-09-28,1355.75
2005-09-29,1364.75
2005-09-30,1367.25
2005-10-03,1364.75
2005-10-04,1349.75
2005-10-05,1333.75
2005-10-06,1330.0
2005-10-07,1333.0
2005-10-10,1323.0
2005-10-11,1321.5
2005-10-12,1311.5
2005-10-13,1311.0
2005-10-14,1323.0
2005-10-17,1327.25
2005-10-18,1314.5
2005-10-19,1333.5
2005-10-20,1312.5
2005-10-21,1316.75
2005-10-24,1335.5
2005-10-25,1332.0
2005-10-26,1329.0
2005-10-27,1315.5
2005-10-28,1332.75
2005-10-31,1342.75
2005-11-01,1339.25
2005-11-02,1351.0
2005-11-03,1356.75
2005-11-04,1355.0
2005-11-07,1355.75
2005-11-08,1355.75
2005-11-09,1356.75
2005-11-10,1366.75
2005-11-11,1371.0
2005-11-14,1370.25
2005-11-15,1365.5
2005-11-16,1367.75
2005-11-17,1378.25
2005-11-18,1383.25
2005-11-21,1390.0
2005-11-22,1395.0
2005-11-23,1401.5
2005-11-24,1400.5
2005-11-25,1403.0
2005-11-28,1394.0
2005-11-29,1392.25
2005-11-30,1384.0
2005-12-01,1397.5
2005-12-02,1399.0
2005-12-05,1396.5
2005-12-06,1398.5
2005-12-07,1391.0
2005-12-08,1389.75
2005-12-09,1392.25
2005-12-12,1394.0
2005-12-13,1401.75
2005-12-14,1406.75
2005-12-15,1402.5
2005-12-16,1399.0
2005-12-19,1392.25
2005-12-20,1392.75
2005-12-21,1394.75
2005-12-22,1400.25
2005-12-23,1401.25
2005-12-26,
2005-12-27,1388.75
2005-12-28,1390.0
2005-12-29,1384.75
2005-12-30,1379.5
2006-01-02,
2006-01-03,1399.5
2006-01-04,1405.25
2006-01-05,1406.0
2006-01-06,1416.5
2006-01-09,1419.75
2006-01-10,1420.75
2006-01-11,1424.5
2006-01-12,1418.25
2006-01-13,1417.5
2006-01-16,1419.5
2006-01-17,1414.25
2006-01-18,1408.5
2006-01-19,1413.0
2006-01-20,1389.5
2006-01-23,1394.0
2006-01-24,1395.25
2006-01-25,1395.75
2006-01-26,1402.5
2006-01-27,1414.0
2006-01-30,1413.25
2006-01-31,1408.25
2006-02-01,1412.0
2006-02-02,1396.75
2006-02-03,1390.25
2006-02-06,1393.5
2006-02-07,1382.25
2006-02-08,1393.0
2006-02-09,1390.5
2006-02-10,1393.0
2006-02-13,1390.5
2006-02-14,1403.0
2006-02-15,1407.0
2006-02-16,1416.5
2006-02-17,1413.75
2006-02-20,1413.5
2006-02-21,1410.0
2006-02-22,1417.0
2006-02-23,1415.0
2006-02-24,1417.75
2006-02-27,1418.75
2006-02-28,1407.25
2006-03-01,1416.75
2006-03-02,1416.25
2006-03-03,1411.25
2006-03-06,1404.25
2006-03-07,1402.25
2006-03-08,1404.25
2006-03-09,1396.75
2006-03-10,1407.75
2006-03-13,1410.25
2006-03-14,1423.25
2006-03-15,1428.75
2006-03-16,1431.25
2006-03-17,1432.0
2006-03-20,1430.0
2006-03-21,1422.0
2006-03-22,1429.0
2006-03-23,1426.25
2006-03-24,1427.25
2006-03-27,1425.5
2006-03-28,1417.0
2006-03-29,1424.5
2006-03-30,1422.0
2006-03-31,1417.75
2006-04-03,1420.25
2006-04-04,1429.25
2006-04-05,1433.5
2006-04-06,1432.0
2006-04-07,1418.5
2006-04-10,1420.0
2006-04-11,1408.5
2006-04-12,1410.0
2006-04-13,1408.75
2006-04-14,
2006-04-17,1407.5
2006-04-18,1428.0
2006-04-19,1429.75
2006-04-20,1431.5
2006-04-21,1431.5
2006-04-24,1429.0
2006-04-25,1424.0
2006-04-26,1423.5
2006-04-27,1429.5
2006-04-28,1430.5
2006-05-01,1422.75
2006-05-02,1432.5
2006-05-03,1426.75
2006-05-04,1431.5
2006-05-05,1443.5
2006-05-08,1441.75
2006-05-09,1443.75
2006-05-10,1442.25
2006-05-11,1426.25
2006-05-12,1408.75
2006-05-15,1411.75
2006-05-16,1409.5
2006-05-17,1383.5
2006-05-18,1377.5
2006-05-19,1385.25
2006-05-22,1376.5
2006-05-23,1367.0
2006-05-24,1375.5
2006-05-25,1390.5
2006-05-26,1397.25
2006-05-29,1394.5
2006-05-30,1374.5
2006-05-31,1386.5
2006-06-01,1400.25
2006-06-02,1402.75
2006-06-05,1384.0
2006-06-06,1380.25
2006-06-07,1370.5
2006-06-08,1370.0
2006-06-09,1365.5
2006-06-12,1351.0
2006-06-13,1336.5
2006-06-14,1345.25
2006-06-15,1371.75
